0:	learn: 0.5215861	test: 0.5216283	best: 0.5216283 (0)	total: 154ms	remaining: 2m 33s
10:	learn: 0.1218887	test: 0.1212551	best: 0.1212551 (10)	total: 1.07s	remaining: 1m 36s
20:	learn: 0.1035635	test: 0.1026413	best: 0.1026413 (20)	total: 1.94s	remaining: 1m 30s
30:	learn: 0.0999518	test: 0.0989082	best: 0.0989082 (30)	total: 2.82s	remaining: 1m 28s
40:	learn: 0.0979985	test: 0.0969333	best: 0.0969333 (40)	total: 3.66s	remaining: 1m 25s
50:	learn: 0.0967915	test: 0.0957422	best: 0.0957422 (50)	total: 4.51s	remaining: 1m 23s
60:	learn: 0.0959863	test: 0.0949625	best: 0.0949625 (60)	total: 5.38s	remaining: 1m 22s
70:	learn: 0.0952488	test: 0.0942853	best: 0.0942853 (70)	total: 6.21s	remaining: 1m 21s
80:	learn: 0.0942924	test: 0.0933854	best: 0.0933854 (80)	total: 7.08s	remaining: 1m 20s
90:	learn: 0.0936244	test: 0.0927794	best: 0.0927794 (90)	total: 7.98s	remaining: 1m 19s
100:	learn: 0.0928814	test: 0.0920690	best: 0.0920690 (100)	total: 8.87s	remaining: 1m 18s
110:	learn: 0.0922820	test: 0.0915415	best: 0.0915415 (110)	total: 9.8s	remaining: 1m 18s
120:	learn: 0.0915243	test: 0.0908068	best: 0.0908068 (120)	total: 10.7s	remaining: 1m 17s
130:	learn: 0.0910428	test: 0.0903987	best: 0.0903987 (130)	total: 11.7s	remaining: 1m 17s
140:	learn: 0.0906931	test: 0.0901007	best: 0.0901007 (140)	total: 12.6s	remaining: 1m 16s
150:	learn: 0.0900721	test: 0.0895506	best: 0.0895506 (150)	total: 13.5s	remaining: 1m 16s
160:	learn: 0.0894952	test: 0.0889923	best: 0.0889923 (160)	total: 14.4s	remaining: 1m 15s
170:	learn: 0.0889676	test: 0.0884788	best: 0.0884788 (170)	total: 15.4s	remaining: 1m 14s
180:	learn: 0.0882904	test: 0.0878662	best: 0.0878662 (180)	total: 16.3s	remaining: 1m 13s
190:	learn: 0.0880111	test: 0.0876173	best: 0.0876173 (190)	total: 17.2s	remaining: 1m 12s
200:	learn: 0.0873600	test: 0.0869830	best: 0.0869830 (200)	total: 18.1s	remaining: 1m 11s
210:	learn: 0.0869020	test: 0.0865490	best: 0.0865490 (210)	total: 19s	remaining: 1m 11s
220:	learn: 0.0865443	test: 0.0862190	best: 0.0862190 (220)	total: 19.9s	remaining: 1m 10s
230:	learn: 0.0860545	test: 0.0857563	best: 0.0857563 (230)	total: 20.8s	remaining: 1m 9s
240:	learn: 0.0857082	test: 0.0854621	best: 0.0854621 (240)	total: 21.7s	remaining: 1m 8s
250:	learn: 0.0854451	test: 0.0852365	best: 0.0852365 (250)	total: 22.7s	remaining: 1m 7s
260:	learn: 0.0851525	test: 0.0850040	best: 0.0850040 (260)	total: 23.6s	remaining: 1m 6s
270:	learn: 0.0848474	test: 0.0847562	best: 0.0847562 (270)	total: 24.5s	remaining: 1m 5s
280:	learn: 0.0845725	test: 0.0845054	best: 0.0845054 (280)	total: 25.4s	remaining: 1m 4s
290:	learn: 0.0843618	test: 0.0843399	best: 0.0843399 (290)	total: 26.3s	remaining: 1m 4s
300:	learn: 0.0840737	test: 0.0840919	best: 0.0840919 (300)	total: 27.2s	remaining: 1m 3s
310:	learn: 0.0839525	test: 0.0840051	best: 0.0840051 (310)	total: 28.2s	remaining: 1m 2s
320:	learn: 0.0837219	test: 0.0838007	best: 0.0838007 (320)	total: 29.1s	remaining: 1m 1s
330:	learn: 0.0836276	test: 0.0837456	best: 0.0837456 (330)	total: 30s	remaining: 1m
340:	learn: 0.0833107	test: 0.0834663	best: 0.0834663 (340)	total: 30.9s	remaining: 59.7s
350:	learn: 0.0831426	test: 0.0833322	best: 0.0833322 (350)	total: 31.8s	remaining: 58.8s
360:	learn: 0.0829759	test: 0.0831907	best: 0.0831907 (360)	total: 32.7s	remaining: 57.9s
370:	learn: 0.0828730	test: 0.0831374	best: 0.0831374 (370)	total: 33.6s	remaining: 57s
380:	learn: 0.0826610	test: 0.0829751	best: 0.0829751 (380)	total: 34.5s	remaining: 56.1s
390:	learn: 0.0824944	test: 0.0828161	best: 0.0828161 (390)	total: 35.4s	remaining: 55.2s
400:	learn: 0.0823212	test: 0.0827007	best: 0.0827007 (400)	total: 36.4s	remaining: 54.3s
410:	learn: 0.0820948	test: 0.0824947	best: 0.0824947 (410)	total: 37.3s	remaining: 53.5s
420:	learn: 0.0819507	test: 0.0823895	best: 0.0823895 (420)	total: 38.2s	remaining: 52.6s
430:	learn: 0.0818284	test: 0.0823076	best: 0.0823076 (430)	total: 39.1s	remaining: 51.7s
440:	learn: 0.0817138	test: 0.0822265	best: 0.0822265 (440)	total: 40s	remaining: 50.7s
450:	learn: 0.0815599	test: 0.0821142	best: 0.0821142 (450)	total: 41s	remaining: 49.9s
460:	learn: 0.0814382	test: 0.0820374	best: 0.0820374 (460)	total: 41.9s	remaining: 49s
470:	learn: 0.0813437	test: 0.0819752	best: 0.0819752 (470)	total: 42.8s	remaining: 48.1s
480:	learn: 0.0811954	test: 0.0818655	best: 0.0818655 (480)	total: 43.7s	remaining: 47.2s
490:	learn: 0.0810297	test: 0.0817190	best: 0.0817190 (490)	total: 44.6s	remaining: 46.3s
500:	learn: 0.0808864	test: 0.0816020	best: 0.0816020 (500)	total: 45.5s	remaining: 45.4s
510:	learn: 0.0807386	test: 0.0815033	best: 0.0815033 (510)	total: 46.5s	remaining: 44.5s
520:	learn: 0.0805905	test: 0.0814060	best: 0.0814060 (520)	total: 47.4s	remaining: 43.6s
