0:	learn: 0.5215861	test: 0.5216283	best: 0.5216283 (0)	total: 170ms	remaining: 28m 20s
10:	learn: 0.1218887	test: 0.1212551	best: 0.1212551 (10)	total: 1.06s	remaining: 16m 4s
20:	learn: 0.1035635	test: 0.1026413	best: 0.1026413 (20)	total: 1.89s	remaining: 14m 58s
30:	learn: 0.0999518	test: 0.0989082	best: 0.0989082 (30)	total: 2.73s	remaining: 14m 39s
40:	learn: 0.0979985	test: 0.0969333	best: 0.0969333 (40)	total: 3.55s	remaining: 14m 23s
50:	learn: 0.0967915	test: 0.0957422	best: 0.0957422 (50)	total: 4.39s	remaining: 14m 16s
60:	learn: 0.0959863	test: 0.0949625	best: 0.0949625 (60)	total: 5.27s	remaining: 14m 19s
70:	learn: 0.0952488	test: 0.0942853	best: 0.0942853 (70)	total: 6.11s	remaining: 14m 14s
80:	learn: 0.0942924	test: 0.0933854	best: 0.0933854 (80)	total: 6.95s	remaining: 14m 11s
90:	learn: 0.0936244	test: 0.0927794	best: 0.0927794 (90)	total: 7.81s	remaining: 14m 10s
100:	learn: 0.0928814	test: 0.0920690	best: 0.0920690 (100)	total: 8.67s	remaining: 14m 9s
110:	learn: 0.0922820	test: 0.0915415	best: 0.0915415 (110)	total: 9.61s	remaining: 14m 16s
120:	learn: 0.0915243	test: 0.0908068	best: 0.0908068 (120)	total: 10.5s	remaining: 14m 20s
130:	learn: 0.0910428	test: 0.0903987	best: 0.0903987 (130)	total: 11.4s	remaining: 14m 21s
140:	learn: 0.0906931	test: 0.0901007	best: 0.0901007 (140)	total: 12.3s	remaining: 14m 22s
150:	learn: 0.0900721	test: 0.0895506	best: 0.0895506 (150)	total: 13.2s	remaining: 14m 20s
160:	learn: 0.0894952	test: 0.0889923	best: 0.0889923 (160)	total: 14s	remaining: 14m 16s
170:	learn: 0.0889676	test: 0.0884788	best: 0.0884788 (170)	total: 14.9s	remaining: 14m 15s
180:	learn: 0.0882904	test: 0.0878662	best: 0.0878662 (180)	total: 15.8s	remaining: 14m 17s
190:	learn: 0.0880111	test: 0.0876173	best: 0.0876173 (190)	total: 16.7s	remaining: 14m 17s
200:	learn: 0.0873600	test: 0.0869830	best: 0.0869830 (200)	total: 17.5s	remaining: 14m 15s
210:	learn: 0.0869020	test: 0.0865490	best: 0.0865490 (210)	total: 18.4s	remaining: 14m 14s
220:	learn: 0.0865443	test: 0.0862190	best: 0.0862190 (220)	total: 19.3s	remaining: 14m 13s
230:	learn: 0.0860545	test: 0.0857563	best: 0.0857563 (230)	total: 20.1s	remaining: 14m 11s
240:	learn: 0.0857082	test: 0.0854621	best: 0.0854621 (240)	total: 21s	remaining: 14m 11s
250:	learn: 0.0854451	test: 0.0852365	best: 0.0852365 (250)	total: 21.9s	remaining: 14m 9s
260:	learn: 0.0851525	test: 0.0850040	best: 0.0850040 (260)	total: 22.7s	remaining: 14m 8s
